edited_start_frame,edited_start_time_ms,edited_end_frame,edited_end_time_ms,original_video_name,original_start_frame,original_start_time_ms,original_end_frame,original_end_time_ms
0,41,167,6965,original,169001,7048750,169168,7055673
168,7006,263,10969,original,72145,3009047,72240,3013010
264,11010,303,12637,original,20244,844344,20283,845970
304,12679,354,14764,original,20620,860025,20670,862110
355,14806,399,16641,original,5733,239114,5777,240949
400,16683,441,18393,original,6125,255463,6166,257173
442,18435,500,20854,original,6408,267266,6466,269685
501,20895,563,23481,original,6665,277985,6727,280572
564,23523,604,25191,original,8574,357607,8614,359276
605,25233,673,28069,original,8734,364281,8802,367117
674,28111,741,30905,original,5095,212503,5162,215298
742,30947,794,33116,original,15987,666791,16039,668960
795,33158,871,36327,original,16385,683390,16461,686561
872,36369,900,37537,original,2361,98472,2389,99641
901,37579,937,39080,original,2966,123706,3002,125207
938,39122,980,40874,original,10726,447363,10768,449115
981,40915,1048,43710,original,15775,657948,15842,660743
1049,43752,1079,45003,original,31341,1307181,31371,1308432
1080,45045,1111,46337,original,31454,1311894,31485,1313186
1112,46379,1123,46838,original,31601,1318025,31612,1318483
1124,46880,1147,47839,original,31646,1319902,31669,1320861
1148,47881,1190,49632,original,36044,1503335,36086,1505086
1191,49674,1195,49841,original,36150,1507756,36154,1507923
1196,49883,1197,49924,original,36964,1541707,36965,1541749
1198,49966,1198,49966,original,36967,1541832,36967,1541832
1199,50008,1200,50049,original,36967,1541832,36968,1541874
1201,50091,1201,50091,original,36970,1541957,36970,1541957
1202,50133,1202,50133,original,36970,1541957,36970,1541957
1203,50175,1203,50175,original,36972,1542040,36972,1542040
1204,50216,1205,50258,original,36972,1542040,36973,1542082
1206,50300,1206,50300,original,36975,1542165,36975,1542165
1207,50341,1208,50383,original,36975,1542165,36976,1542207
1209,50425,1210,50467,original,36978,1542290,36979,1542332
1211,50508,1211,50508,original,36979,1542332,36979,1542332
1212,50550,1213,50592,original,36981,1542415,36982,1542458
1214,50633,1214,50633,original,36982,1542458,36982,1542458
1215,50675,1219,50842,original,36984,1542540,36988,1542708
1220,50884,1221,50925,original,36988,1542708,36989,1542750
1222,50967,1222,50967,original,36991,1542833,36991,1542833
1223,51009,1223,51009,original,36991,1542833,36991,1542833
1224,51051,1225,51092,original,36993,1542915,36994,1542958
1226,51134,1226,51134,original,36994,1542958,36994,1542958
1227,51176,1227,51176,original,36996,1543041,36996,1543041
1228,51217,1229,51259,original,36996,1543041,36997,1543083
1230,51301,1230,51301,original,36999,1543166,36999,1543166
1231,51342,1232,51384,original,36999,1543166,37000,1543208
1233,51426,1234,51468,original,37002,1543291,37003,1543333
1235,51509,1235,51509,original,37003,1543333,37003,1543333
1236,51551,1237,51593,original,37005,1543416,37006,1543459
1238,51634,1238,51634,original,37006,1543459,37006,1543459
1239,51676,1251,52177,original,37008,1543541,37020,1544042
1252,52218,1252,52218,original,37020,1544042,37020,1544042
1253,52260,1254,52302,original,37022,1544125,37023,1544167
1255,52343,1255,52343,original,37023,1544167,37023,1544167
1256,52385,1301,54262,original,36481,1521561,36526,1523439
1302,54304,1332,55555,original,2003,83542,2033,84793
1333,55597,1393,58099,original,18608,776109,18668,778610
1394,58141,1450,60477,original,22536,939938,22592,942274
1451,60518,1488,62061,original,18893,787995,18930,789538
1489,62103,1545,64439,original,19047,794418,19103,796754
1546,64481,1585,66107,original,33562,1399815,33601,1401442
1586,66149,1624,67734,original,33861,1412286,33899,1413871
1625,67776,1669,69611,original,34027,1419209,34071,1421045
1670,69652,1734,72322,original,23243,969427,23307,972096
1735,72363,1773,73948,original,20804,867700,20842,869284
1774,73990,1811,75533,original,21458,894976,21495,896520
1812,75575,1839,76701,original,21900,913413,21927,914538
1840,76743,1868,77911,original,21949,915456,21977,916624
1869,77952,1917,79954,original,24462,1020269,24510,1022270
1918,79996,1969,82123,original,26058,1086836,26109,1088962
1970,82165,2009,83792,original,23548,982148,23587,983774
2010,83833,2047,85376,original,24160,1007673,24197,1009216
2048,85418,2086,87003,original,24817,1035076,24855,1036661
2087,87045,2139,89214,original,25112,1047380,25164,1049548
2140,89255,2165,90298,original,25195,1050840,25220,1051884
2166,90340,2213,92300,original,28585,1192232,28632,1194192
2214,92342,2287,95386,original,28783,1200490,28856,1203536
2288,95428,2373,98973,original,29584,1233898,29669,1237444
2374,99015,2396,99933,original,30418,1268683,30440,1269602
